rule,difference_base,seed,benchmark,classifier,baseline
24,0.0016835016835017,984809847,digits,SVM Linear,
25,0.0016835016835017,984809847,digits,SVM Linear,
26,-0.0016835016835016,984809847,digits,SVM Linear,
27,-0.0050505050505049,984809847,digits,SVM Linear,
28,-0.0016835016835016,984809847,digits,SVM Linear,
29,0.0016835016835017,984809847,digits,SVM Linear,
30,0.0101010101010101,984809847,digits,SVM Linear,
32,-0.0016835016835016,984809847,digits,SVM Linear,
33,-0.0016835016835016,984809847,digits,SVM Linear,
34,0.0,984809847,digits,SVM Linear,
35,0.0084175084175084,984809847,digits,SVM Linear,
36,0.0033670033670033,984809847,digits,SVM Linear,
37,0.0016835016835017,984809847,digits,SVM Linear,
38,0.0084175084175084,984809847,digits,SVM Linear,
40,0.0,984809847,digits,SVM Linear,
41,-0.0067340067340067,984809847,digits,SVM Linear,
42,-0.0067340067340067,984809847,digits,SVM Linear,
43,0.0084175084175084,984809847,digits,SVM Linear,
44,-0.0050505050505049,984809847,digits,SVM Linear,
45,-0.0033670033670033,984809847,digits,SVM Linear,
46,0.0067340067340068,984809847,digits,SVM Linear,
50,-0.0050505050505049,984809847,digits,SVM Linear,
51,-0.0134680134680134,984809847,digits,SVM Linear,
54,0.0,984809847,digits,SVM Linear,
56,-0.01010101010101,984809847,digits,SVM Linear,
57,-0.0067340067340067,984809847,digits,SVM Linear,
58,-0.0084175084175084,984809847,digits,SVM Linear,
60,0.0,984809847,digits,SVM Linear,
62,0.0033670033670033,984809847,digits,SVM Linear,
72,-0.0117845117845117,984809847,digits,SVM Linear,
73,0.0033670033670033,984809847,digits,SVM Linear,
74,-0.0134680134680134,984809847,digits,SVM Linear,
76,-0.0151515151515151,984809847,digits,SVM Linear,
77,-0.0185185185185184,984809847,digits,SVM Linear,
78,-0.0050505050505049,984809847,digits,SVM Linear,
90,-0.0016835016835016,984809847,digits,SVM Linear,
94,0.005050505050505,984809847,digits,SVM Linear,
104,-0.0084175084175084,984809847,digits,SVM Linear,
105,-0.0050505050505049,984809847,digits,SVM Linear,
106,-0.0050505050505049,984809847,digits,SVM Linear,
108,-0.01010101010101,984809847,digits,SVM Linear,
110,0.0033670033670033,984809847,digits,SVM Linear,
122,-0.0033670033670033,984809847,digits,SVM Linear,
126,0.005050505050505,984809847,digits,SVM Linear,
128,0.0,984809847,digits,SVM Linear,
130,-0.0134680134680134,984809847,digits,SVM Linear,
132,0.0084175084175084,984809847,digits,SVM Linear,
134,-0.0084175084175084,984809847,digits,SVM Linear,
136,0.0,984809847,digits,SVM Linear,
138,-0.0084175084175084,984809847,digits,SVM Linear,
140,0.0033670033670033,984809847,digits,SVM Linear,
142,-0.0050505050505049,984809847,digits,SVM Linear,
146,-0.0067340067340067,984809847,digits,SVM Linear,
150,-0.0050505050505049,984809847,digits,SVM Linear,
152,-0.0033670033670033,984809847,digits,SVM Linear,
154,-0.0033670033670033,984809847,digits,SVM Linear,
156,0.0033670033670033,984809847,digits,SVM Linear,
160,0.0033670033670033,984809847,digits,SVM Linear,
162,0.0016835016835017,984809847,digits,SVM Linear,
164,-0.0067340067340067,984809847,digits,SVM Linear,
168,0.0,984809847,digits,SVM Linear,
170,-0.0134680134680134,984809847,digits,SVM Linear,
172,-0.0067340067340067,984809847,digits,SVM Linear,
178,-0.0185185185185184,984809847,digits,SVM Linear,
184,-0.0067340067340067,984809847,digits,SVM Linear,
200,-0.0117845117845117,984809847,digits,SVM Linear,
204,-0.0134680134680134,984809847,digits,SVM Linear,
232,-0.0117845117845117,984809847,digits,SVM Linear,
1,0.0016835016835016,606387751,digits,SVM Linear,
2,-0.005050505050505,606387751,digits,SVM Linear,
3,-0.0033670033670033,606387751,digits,SVM Linear,
4,0.0,606387751,digits,SVM Linear,
5,-0.0016835016835017,606387751,digits,SVM Linear,
6,0.0033670033670033,606387751,digits,SVM Linear,
7,-0.0067340067340068,606387751,digits,SVM Linear,
8,-0.0016835016835017,606387751,digits,SVM Linear,
9,-0.0067340067340068,606387751,digits,SVM Linear,
10,-0.0134680134680135,606387751,digits,SVM Linear,
11,-0.0084175084175084,606387751,digits,SVM Linear,
12,0.0,606387751,digits,SVM Linear,
13,0.0050505050505049,606387751,digits,SVM Linear,
14,0.0050505050505049,606387751,digits,SVM Linear,
15,-0.0067340067340068,606387751,digits,SVM Linear,
18,-0.0033670033670033,606387751,digits,SVM Linear,
19,-0.0084175084175084,606387751,digits,SVM Linear,
22,0.0050505050505049,606387751,digits,SVM Linear,
23,-0.0117845117845117,606387751,digits,SVM Linear,
24,-0.005050505050505,606387751,digits,SVM Linear,
25,-0.0134680134680135,606387751,digits,SVM Linear,
26,-0.0168350168350168,606387751,digits,SVM Linear,
27,-0.0151515151515151,606387751,digits,SVM Linear,
28,0.0016835016835016,606387751,digits,SVM Linear,
29,0.0,606387751,digits,SVM Linear,
30,0.0033670033670033,606387751,digits,SVM Linear,
32,0.0084175084175083,606387751,digits,SVM Linear,
33,-0.0016835016835017,606387751,digits,SVM Linear,
34,0.0,606387751,digits,SVM Linear,
35,0.0,606387751,digits,SVM Linear,
36,0.0033670033670033,606387751,digits,SVM Linear,
37,0.0033670033670033,606387751,digits,SVM Linear,
38,0.0050505050505049,606387751,digits,SVM Linear,
40,-0.0016835016835017,606387751,digits,SVM Linear,
41,-0.0168350168350168,606387751,digits,SVM Linear,
42,-0.0151515151515151,606387751,digits,SVM Linear,
43,-0.0033670033670033,606387751,digits,SVM Linear,
44,-0.005050505050505,606387751,digits,SVM Linear,
45,0.0033670033670033,606387751,digits,SVM Linear,
46,-0.0033670033670033,606387751,digits,SVM Linear,
50,-0.0101010101010101,606387751,digits,SVM Linear,
51,-0.0067340067340068,606387751,digits,SVM Linear,
54,0.0016835016835016,606387751,digits,SVM Linear,
56,-0.0101010101010101,606387751,digits,SVM Linear,
57,-0.0117845117845117,606387751,digits,SVM Linear,
58,-0.0117845117845117,606387751,digits,SVM Linear,
60,0.0,606387751,digits,SVM Linear,
62,0.0050505050505049,606387751,digits,SVM Linear,
72,-0.0101010101010101,606387751,digits,SVM Linear,
73,-0.0016835016835017,606387751,digits,SVM Linear,
74,-0.0134680134680135,606387751,digits,SVM Linear,
76,-0.0134680134680135,606387751,digits,SVM Linear,
77,-0.0067340067340068,606387751,digits,SVM Linear,
78,-0.0084175084175084,606387751,digits,SVM Linear,
90,-0.0067340067340068,606387751,digits,SVM Linear,
94,-0.005050505050505,606387751,digits,SVM Linear,
104,-0.0117845117845117,606387751,digits,SVM Linear,
105,-0.0101010101010101,606387751,digits,SVM Linear,
106,0.0,606387751,digits,SVM Linear,
108,0.0016835016835016,606387751,digits,SVM Linear,
110,0.0,606387751,digits,SVM Linear,
122,-0.0033670033670033,606387751,digits,SVM Linear,
126,0.0,606387751,digits,SVM Linear,
128,-0.0016835016835017,606387751,digits,SVM Linear,
130,-0.0084175084175084,606387751,digits,SVM Linear,
132,0.0016835016835016,606387751,digits,SVM Linear,
134,-0.0117845117845117,606387751,digits,SVM Linear,
136,-0.0016835016835017,606387751,digits,SVM Linear,
138,-0.0117845117845117,606387751,digits,SVM Linear,
140,-0.0016835016835017,606387751,digits,SVM Linear,
142,-0.0033670033670033,606387751,digits,SVM Linear,
146,-0.0101010101010101,606387751,digits,SVM Linear,
150,-0.0101010101010101,606387751,digits,SVM Linear,
152,0.0050505050505049,606387751,digits,SVM Linear,
154,-0.0016835016835017,606387751,digits,SVM Linear,
156,0.0067340067340067,606387751,digits,SVM Linear,
160,0.0016835016835016,606387751,digits,SVM Linear,
162,-0.0067340067340068,606387751,digits,SVM Linear,
164,0.0033670033670033,606387751,digits,SVM Linear,
168,0.0016835016835016,606387751,digits,SVM Linear,
170,-0.0067340067340068,606387751,digits,SVM Linear,
172,0.0016835016835016,606387751,digits,SVM Linear,
178,-0.0067340067340068,606387751,digits,SVM Linear,
184,0.0033670033670033,606387751,digits,SVM Linear,
200,-0.0084175084175084,606387751,digits,SVM Linear,
204,-0.0067340067340068,606387751,digits,SVM Linear,
232,-0.0117845117845117,606387751,digits,SVM Linear,
1,0.0235690235690235,435422400,digits,SVM Linear,
2,0.0016835016835016,435422400,digits,SVM Linear,
3,0.0185185185185184,435422400,digits,SVM Linear,
4,0.0117845117845117,435422400,digits,SVM Linear,
